age,weight(kg),height(cm),gender,BMI,BMR,activity_level,calories_to_maintain_weight
2,16.09786214997295,93.20248764873584,1,18.531611873353047,958.584,1.2,1150.3008
4,14.619373955500556,91.66868820307404,1,17.39749587302515,932.383,1.7,1585.0511
4,17.89991841561572,99.72877191242412,1,17.99741410238895,977.578,1.9,1857.3982
3,13.53288038990203,102.2786302377667,1,12.93660855278945,944.689,1.9,1794.9091
4,17.039484483110172,105.3976656806435,0,15.338908849430023,799.229,1.9,1518.5351
3,12.032661523487478,107.8630267813443,1,10.342284830364653,939.781,1.9,1785.5839
2,17.794900776543788,107.03925289053615,0,15.53135807366933,831.386,1.9,1579.6334
3,15.789179098127962,91.22557553153082,1,18.972577131442517,947.56,1.3,1231.828
3,13.300540735417368,106.86860964260585,1,11.645790658716088,950.262,1.7,1615.4453999999998
4,15.504307124281024,90.07040645299391,1,19.111207048532837,938.161,1.3,1219.6093
4,17.508939237744066,96.93140007081544,0,18.63506295010244,763.329,1.3,992.3277
5,15.328799289158194,91.96015267743309,1,18.12628359433589,934.989,1.7,1589.4813
3,17.76999260194176,103.47295405014275,1,16.59715122620208,987.396,1.9,1876.0524
4,13.547525245612292,86.95768040549228,1,17.91612468148824,914.084,1.9,1736.7596
5,12.227311143025748,97.62284114520774,1,12.830041993483604,914.841,1.7,1555.2297
2,14.1335055066413,102.67306175897828,1,13.40716228567338,955.826,1.9,1816.0694
4,15.464262424325574,88.1802605844889,0,19.88778677889928,691.562,1.7,1175.6554
3,13.736122612473505,92.18801683015477,1,16.162748454603104,929.486,1.7,1580.1262
3,16.16048870733119,105.25516452875006,0,14.587056368175434,793.275,1.9,1507.2225
5,14.009112387193026,105.26770231624644,1,12.642132333495054,944.943,1.7,1606.4031
3,16.894457973587738,92.02414772764672,1,19.949896867016918,959.528,1.3,1247.3864
2,12.73698974034635,100.48164685502444,1,12.615175892948876,938.694,1.7,1595.7797999999998
5,17.376826100492284,101.62459820181688,1,16.82568569042523,971.079,1.7,1650.8343
3,16.367050488068863,89.30264195782449,1,20.523045469135585,949.838,1.5,1424.757
4,17.102880817032798,96.17065475775483,1,18.492010169229545,963.878,1.9,1831.3682
2,17.19729221105274,87.20387838893066,0,22.614577039142823,724.022,1.9,1375.6418
4,14.728941216252654,87.60526297515369,0,19.1915978049924,678.613,1.7,1153.6421
4,17.04224212845933,107.62009366426683,1,14.714313334291273,982.76,1.9,1867.244
4,16.95414372895288,97.95654359636717,1,17.668877321120455,965.486,1.9,1834.4234
4,12.154358156526085,94.11591518545532,1,13.721635870878924,912.879,1.9,1734.4701
3,17.70067187818394,105.16330967134479,1,16.00520570491547,989.604,1.7,1682.3268
4,17.275365257261278,102.81677197119544,1,16.34177810601731,976.832,1.7,1660.6144
2,14.323289571998114,86.23203058061891,0,19.2621848483099,679.789,1.5,1019.6835
4,14.423497615982068,91.50001156969778,1,17.227739219959584,930.216,1.9,1767.4104
2,17.544371527252718,94.20799297672443,1,19.767980881071463,974.18,1.2,1169.0159999999998
5,12.3733408100454,96.02963602617743,1,13.417648472850267,913.534,1.9,1735.7145999999998
3,15.985863314892503,89.99502495848503,0,19.737815805178005,714.581,1.7,1214.7877
4,15.277206816904464,87.67985527882985,1,19.87212495627667,931.917,1.3,1211.4921000000002
